month,day,hour,min,sec,pan[rad],tlt[rad],str_1[rad],str_2[rad],str_3[rad],str_4[rad],drv_1[rad],drv_2[rad],drv_3[rad],drv_4[rad]
1,1,9,35,53.6000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,53.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,54.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,54.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,54.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,54.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,54.8000,0.0517,1.1399,-0.0008,-0.0009,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,55.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,55.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,55.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,55.6000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,55.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,56.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,56.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,56.4000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,56.6000,0.0517,1.1399,-0.0008,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,56.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,57.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,57.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,57.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,57.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,57.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,58.0000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,58.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,58.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,58.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,58.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,59.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,59.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,59.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,59.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,59.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,36,0.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,36,0.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,36,0.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.000
